Query,Intent
Upload my diabetes test results.,upload_document
I have a question.,other
I want to add my ultrasound report.,upload_document
Hello!,other
How can I submit my blood test results?,upload_document
Schedule a blood test.,book_test
Retrieve my MRI scan from last month.,retrieve_document
Do I need to fast before a blood test?,medical_query
Submit my thyroid test results.,upload_document
Please remove my full body checkup from the schedule.,cancel_test
What does a thyroid test check for?,medical_query
Is it possible to book a cholesterol test?,book_test
Fetch my thyroid test data.,retrieve_document
Where do I upload my medical documents?,upload_document
Fetch my last X-ray report.,retrieve_document
I want to get a chest X-ray done next week.,book_test
What tests are available for booking?,book_test
Schedule a blood test.,book_test
I need insights from my diabetes test.,analyze_report
Good morning!,other
Is it possible to book a cholesterol test?,book_test
Thank you!,other
Fetch my last X-ray report.,retrieve_document
How can I submit my blood test results?,upload_document
I have a question.,other
Retrieve my MRI scan from last month.,retrieve_document
Good morning!,other
Can you provide my recent blood test results?,retrieve_document
How are you?,other
Where can I download my full body checkup results?,retrieve_document
Can diabetes affect my blood test results?,medical_query
I need to upload my X-ray report.,upload_document
I want to cancel the health checkup I booked.,cancel_test
How should I prepare for a cholesterol test?,medical_query
I need insights from my diabetes test.,analyze_report
Tell me a joke.,other
Is it safe to have an X-ray while pregnant?,medical_query
What does a thyroid test check for?,medical_query
What does a high cholesterol level mean?,medical_query
I need my cholesterol test report.,retrieve_document
How are you?,other
I can’t make it for the diabetes test tomorrow.,cancel_test
Can diabetes affect my blood test results?,medical_query
Fetch my thyroid test data.,retrieve_document
Retrieve my MRI scan from last month.,retrieve_document
Analyze my blood test report.,analyze_report
Can you interpret my recent blood work?,analyze_report
I need to reschedule my MRI.,cancel_test
Cancel my test for today.,cancel_test
What does a thyroid test check for?,medical_query
How should I prepare for a cholesterol test?,medical_query
Is my health checkup report normal?,analyze_report
Cancel my test for today.,cancel_test
Cancel my CT scan for Friday.,cancel_test
Nice to meet you.,other
Can I book an MRI for next Monday?,book_test
Review my X-ray for any issues.,analyze_report
Break down my CT scan results.,analyze_report
I want to add my ultrasound report.,upload_document
Schedule a blood test.,book_test
Goodbye!,other
Cancel my CT scan for Friday.,cancel_test
Can you help me with something?,other
How are you?,other
Can I upload my cholesterol test report here?,upload_document
Can you help me with something?,other
Retrieve my CT scan from January.,retrieve_document
Cancel my thyroid test slot.,cancel_test
How do I cancel my cholesterol checkup?,cancel_test
Schedule a blood test.,book_test
