query,intent
I want to upload my recent medical report.,upload_record
I need to cancel my test appointment.,cancel_appointment
I want a full body checkup appointment.,book_test
Upload my MRI scan report to my profile.,upload_record
I need to book a blood test.,book_test
Can you analyze my blood test report?,analyze_report
Can I get my last X-ray report?,retrieve_record
What does my cholesterol level indicate?,analyze_report
Check my health report and give insights.,analyze_report
Fetch my recent medical records.,retrieve_record
I need insights on my recent X-ray report.,analyze_report
Fetch my recent medical records.,retrieve_record
I need to book a blood test.,book_test
I need to book a blood test.,book_test
"I won’t be able to make it, please cancel my test.",cancel_appointment
I want a full body checkup appointment.,book_test
I need a copy of my last health checkup report.,retrieve_record
Book a COVID test for me.,book_test
Fetch my recent medical records.,retrieve_record
I want a full body checkup appointment.,book_test
"I won’t be able to make it, please cancel my test.",cancel_appointment
Can you analyze my blood test report?,analyze_report
I want to upload my recent medical report.,upload_record
I need to cancel my test appointment.,cancel_appointment
Can I get my last X-ray report?,retrieve_record
Where can I upload my lab test results?,upload_record
Cancel my health checkup for tomorrow.,cancel_appointment
Schedule a thyroid test at the nearest lab.,book_test
Where can I upload my lab test results?,upload_record
Upload my MRI scan report to my profile.,upload_record
Can I schedule an MRI scan for tomorrow?,book_test
Fetch my recent medical records.,retrieve_record
Can I schedule an MRI scan for tomorrow?,book_test
Can you analyze my blood test report?,analyze_report
Review my MRI scan and tell me the results.,analyze_report
Show me my previous blood test results.,retrieve_record
I need to book a blood test.,book_test
What does my cholesterol level indicate?,analyze_report
Schedule a thyroid test at the nearest lab.,book_test
Cancel my health checkup for tomorrow.,cancel_appointment
Can I schedule an MRI scan for tomorrow?,book_test
Can you analyze my blood test report?,analyze_report
Cancel my health checkup for tomorrow.,cancel_appointment
I need to submit my hospital discharge summary.,upload_record
Review my MRI scan and tell me the results.,analyze_report
What does my cholesterol level indicate?,analyze_report
Show me my previous blood test results.,retrieve_record
Show me my previous blood test results.,retrieve_record
Show me my previous blood test results.,retrieve_record
Save my latest blood test in the system.,upload_record
Show me my previous blood test results.,retrieve_record
Where can I upload my lab test results?,upload_record
I need to book a blood test.,book_test
I need to cancel my test appointment.,cancel_appointment
Show me my previous blood test results.,retrieve_record
I want a full body checkup appointment.,book_test
Retrieve my COVID test history.,retrieve_record
Cancel the blood test I booked for Monday.,cancel_appointment
Can I get my last X-ray report?,retrieve_record
Where can I upload my lab test results?,upload_record
Can I get my last X-ray report?,retrieve_record
Schedule a thyroid test at the nearest lab.,book_test
I need to submit my hospital discharge summary.,upload_record
I need a copy of my last health checkup report.,retrieve_record
Save my latest blood test in the system.,upload_record
Upload my MRI scan report to my profile.,upload_record
Where can I upload my lab test results?,upload_record
Can I schedule an MRI scan for tomorrow?,book_test
Check my health report and give insights.,analyze_report
Check my health report and give insights.,analyze_report
I want to upload my recent medical report.,upload_record
"I won’t be able to make it, please cancel my test.",cancel_appointment
What does my cholesterol level indicate?,analyze_report
I want a full body checkup appointment.,book_test
Schedule a thyroid test at the nearest lab.,book_test
I need to book a blood test.,book_test
Schedule a thyroid test at the nearest lab.,book_test
Where can I upload my lab test results?,upload_record
Can I schedule an MRI scan for tomorrow?,book_test
Retrieve my COVID test history.,retrieve_record
Fetch my recent medical records.,retrieve_record
I need to submit my hospital discharge summary.,upload_record
Can I reschedule or cancel my MRI scan?,cancel_appointment
Cancel my health checkup for tomorrow.,cancel_appointment
I need a copy of my last health checkup report.,retrieve_record
I need to submit my hospital discharge summary.,upload_record
Upload my MRI scan report to my profile.,upload_record
Fetch my recent medical records.,retrieve_record
Can I reschedule or cancel my MRI scan?,cancel_appointment
Where can I upload my lab test results?,upload_record
Review my MRI scan and tell me the results.,analyze_report
I need to cancel my test appointment.,cancel_appointment
"I won’t be able to make it, please cancel my test.",cancel_appointment
