query,intent,entities
Is an ultrasound painful?,medical_query,{}
I want to book a CT scan for tomorrow June 21st,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'tomorrow', 'DATE': 'June 21st'}"
Cancel my thyroid test appointment for morning September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a CT scan for next month,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next month'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Should I fast before my blood test?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for next month,cancel_test,{'TIME': 'next month'}
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
I want to book a blood test for next month August 30th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month', 'DATE': 'August 30th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my cholesterol test appointment for,cancel_test,{'TEST_TYPE': 'cholesterol test'}
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
I want to book a ECG for morning April 10th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a ultrasound for  September 2nd,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'September 2nd'}"
I want to book a X-ray for  July 15th,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'July 15th'}"
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Is an ultrasound painful?,medical_query,{}
Cancel my  appointment for afternoon September 2nd,cancel_test,"{'TIME': 'afternoon', 'DATE': 'September 2nd'}"
Cancel my thyroid test appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'August 30th'}"
I want to book a MRI for next week June 21st,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week', 'DATE': 'June 21st'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a blood test for next month April 10th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month', 'DATE': 'April 10th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
Cancel my CT scan appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'August 30th'}"
Cancel my  appointment for evening September 2nd,cancel_test,"{'TIME': 'evening', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
